client_id,le_id,sub_prof_id,orig_customer_name,customer_name,cust_seg,cust_seg_desc,status_code,onboard_date,client_size,inc_num,mth_end,src,cty
C100042,LE001,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,A,Local Corporate,Active,01-08-2012,Medium,DEFAULT,2010-06-22,SCI,SG
C100043,LE001,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,ME,Medium enterprises,Active,28-02-2005,Medium,DEFAULT,2011-08-05,SCI,SG
C100044,LE001,SP001,ABC Trading Pte Ltd,ABC Trading Pte Ltd,MM,Middle market,Active,15-09-2005,Medium,DEFAULT,2017-05-30,SCI,SG
C100045,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,30,Business Clients,Active,01-04-2011,Small,DEFAULT,2020-11-20,SCI,SG
C100046,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,ME,Medium enterprises,Active,23-03-2021,Medium,DEFAULT,2022-10-22,SCI,SG
C100047,LE001,SP001,Vertex Finance Pte Ltd,Vertex Finance Pte Ltd,MM,Middle market,Active,11-08-2015,Medium,DEFAULT,2019-02-17,SCI,SG
C100048,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,K,Global corporate,Active,13-10-2019,Medium,DEFAULT,2019-09-02,SCI,SG
C100049,LE001,SP001,Cedar Technologies Pte Ltd,Cedar Technologies Pte Ltd,30,Business Clients,Active,23-06-2015,Large,DEFAULT,2011-03-20,SCI,SG
C100050,LE001,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,30,Business Clients,Active,02-05-2021,Medium,DEFAULT,2017-08-11,SCI,SG
C100051,LE001,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,A,Local Corporate,Active,08-04-2009,Medium,DEFAULT,2022-01-11,SCI,SG
C100052,LE001,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,N,Financial Institution,Active,12-02-2009,Medium,DEFAULT,2016-03-31,SCI,SG
C100053,LE001,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,E,Commodity Traders & Agriculture,Active,10-09-2006,Small,DEFAULT,2019-12-10,SCI,SG
C100054,LE001,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,A,Local Corporate,Active,15-02-2017,Large,DEFAULT,2010-05-01,SCI,SG
C100055,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,A,Local Corporate,Active,21-04-2010,Large,DEFAULT,2013-09-24,SCI,SG
C100056,LE001,SP001,Nova Retail Pte Ltd,Nova Retail Pte Ltd,NA,Not applicable,Active,18-10-2009,Small,DEFAULT,2018-12-30,SCI,SG
C100057,LE001,SP001,ABC Trading Pte Ltd,ABC Trading Pte Ltd,K,Global corporate,Active,18-01-2005,Small,DEFAULT,2018-10-04,SCI,SG
C100058,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,MM,Middle market,Active,11-08-2022,Large,DEFAULT,2020-03-16,SCI,SG
C100059,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,N,Financial Institution,Active,21-05-2021,Medium,DEFAULT,2022-06-19,SCI,SG
C100060,LE001,SP001,Vertex Finance Pte Ltd,Vertex Finance Pte Ltd,MM,Middle market,Active,28-08-2011,Small,DEFAULT,2014-11-19,SCI,SG
C100061,LE001,SP001,ABC Trading Pte Ltd,ABC Trading Pte Ltd,A,Local Corporate,Active,28-02-2017,Large,DEFAULT,2011-05-15,SCI,SG
C100062,LE001,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,A,Local Corporate,Active,07-02-2018,Medium,DEFAULT,2020-09-10,SCI,SG
C100063,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,MM,Middle market,Active,23-05-2016,Small,DEFAULT,2011-10-19,SCI,SG
C100064,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,30,Business Clients,Active,11-07-2006,Medium,DEFAULT,2015-04-11,SCI,SG
C100065,LE001,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,E,Commodity Traders & Agriculture,Active,11-10-2017,Medium,DEFAULT,2015-07-10,SCI,SG
C100066,LE001,SP001,ABC Trading Pte Ltd,ABC Trading Pte Ltd,30,Business Clients,Active,28-05-2014,Medium,DEFAULT,2023-02-03,SCI,SG
C100067,LE001,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,S,Own account,Active,01-08-2009,Medium,DEFAULT,2017-01-17,SCI,SG
C100068,LE001,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,K,Global corporate,Active,09-12-2007,Small,DEFAULT,2016-09-23,SCI,SG
C100069,LE001,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,A,Local Corporate,Active,12-11-2021,Small,DEFAULT,2011-08-18,SCI,SG
C100070,LE001,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,S,Own account,Dormant,31-03-2007,Medium,DEFAULT,2011-08-24,SCI,SG
C100071,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,HV,High value small business,Active,22-12-2007,Medium,DEFAULT,2017-10-30,SCI,SG
C100072,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,A,Local Corporate,Active,16-04-2013,Large,DEFAULT,2016-05-23,SCI,SG
C100073,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,K,Global corporate,Active,09-03-2017,Medium,DEFAULT,2016-10-14,SCI,SG
C100074,LE001,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,30,Business Clients,Active,18-11-2019,Medium,DEFAULT,2012-04-28,SCI,SG
C100075,LE001,SP001,Lotus Capital Pte Ltd,Lotus Capital Pte Ltd,N,Financial Institution,Active,27-05-2007,Medium,DEFAULT,2022-05-30,SCI,SG
C100076,LE001,SP001,Lotus Capital Pte Ltd,Lotus Capital Pte Ltd,30,Business Clients,Active,26-07-2018,Medium,DEFAULT,2014-09-22,SCI,SG
C100077,LE001,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,S,Own account,Active,24-03-2019,Medium,DEFAULT,2015-12-03,SCI,SG
C100078,LE001,SP001,Vertex Finance Pte Ltd,Vertex Finance Pte Ltd,ME,Medium enterprises,Active,24-12-2023,Small,DEFAULT,2011-02-21,SCI,SG
C100079,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,A,Local Corporate,Active,09-08-2023,Small,DEFAULT,2016-03-16,SCI,SG
C100080,LE001,SP001,ABC Trading Pte Ltd,ABC Trading Pte Ltd,A,Local Corporate,Active,19-04-2022,Medium,DEFAULT,2012-12-07,SCI,SG
C100081,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,K,Global corporate,Active,29-11-2014,Medium,DEFAULT,2022-05-17,SCI,SG
C100082,LE001,SP001,Nova Retail Pte Ltd,Nova Retail Pte Ltd,30,Business Clients,Active,06-07-2007,Small,DEFAULT,2011-09-09,SCI,SG
C100083,LE001,SP001,Lotus Capital Pte Ltd,Lotus Capital Pte Ltd,A,Local Corporate,Active,21-09-2023,Large,DEFAULT,2018-04-13,SCI,SG
C100084,LE001,SP001,Lotus Capital Pte Ltd,Lotus Capital Pte Ltd,30,Business Clients,Active,09-12-2005,Medium,DEFAULT,2016-11-30,SCI,SG
C100085,LE001,SP001,Cedar Technologies Pte Ltd,Cedar Technologies Pte Ltd,ME,Medium enterprises,Active,09-11-2022,Large,DEFAULT,2010-11-23,SCI,SG
C100086,LE001,SP001,Cedar Technologies Pte Ltd,Cedar Technologies Pte Ltd,K,Global corporate,Active,07-08-2010,Medium,DEFAULT,2012-04-22,SCI,SG
C100087,LE001,SP001,Cedar Technologies Pte Ltd,Cedar Technologies Pte Ltd,K,Global corporate,Active,12-02-2014,Large,DEFAULT,2023-12-03,SCI,SG
C100088,LE001,SP001,Lotus Capital Pte Ltd,Lotus Capital Pte Ltd,ME,Medium enterprises,Active,24-04-2010,Medium,DEFAULT,2013-08-24,SCI,SG
C100089,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,NA,Not applicable,Active,23-07-2005,Large,DEFAULT,2014-01-09,SCI,SG
C100090,LE001,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,A,Local Corporate,Active,27-03-2014,Large,DEFAULT,2015-07-26,SCI,SG
C100091,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,NA,Not applicable,Active,23-09-2020,Small,DEFAULT,2012-06-04,SCI,SG
C100092,LE001,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,A,Local Corporate,Active,23-07-2015,Medium,DEFAULT,2014-12-28,SCI,SG
C100093,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,MM,Middle market,Active,29-04-2015,Medium,DEFAULT,2017-11-04,SCI,SG
C100094,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,K,Global corporate,Active,08-02-2010,Medium,DEFAULT,2015-01-01,SCI,SG
C100095,LE001,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,30,Business Clients,Active,02-04-2011,Small,DEFAULT,2011-07-23,SCI,SG
C100096,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,N,Financial Institution,Active,05-06-2016,Medium,DEFAULT,2018-12-19,SCI,SG
C100097,LE001,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,A,Local Corporate,Active,03-08-2007,Medium,DEFAULT,2015-11-10,SCI,SG
C100098,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,ME,Medium enterprises,Active,15-12-2010,Small,DEFAULT,2010-11-10,SCI,SG
C100099,LE001,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,MM,Middle market,Active,02-10-2012,Small,DEFAULT,2017-01-13,SCI,SG
C100100,LE001,SP001,Nova Retail Pte Ltd,Nova Retail Pte Ltd,K,Global corporate,Active,21-06-2016,Large,DEFAULT,2012-08-05,SCI,SG
C100101,LE001,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,50,Private Banking,Active,07-04-2009,Small,DEFAULT,2015-09-18,SCI,SG
C100102,LE001,SP001,ABC Trading Pte Ltd,ABC Trading Pte Ltd,K,Global corporate,Active,14-01-2005,Large,DEFAULT,2021-08-30,SCI,SG
C100103,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,30,Business Clients,Active,28-07-2006,Medium,DEFAULT,2017-05-28,SCI,SG
C100104,LE001,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,30,Business Clients,Active,18-10-2007,Large,DEFAULT,2016-09-26,SCI,SG
C100105,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,K,Global corporate,Active,26-04-2012,Medium,DEFAULT,2019-01-10,SCI,SG
C100106,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,ME,Medium enterprises,Active,21-04-2009,Medium,DEFAULT,2019-06-07,SCI,SG
C100107,LE001,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,ME,Medium enterprises,Active,26-11-2008,Medium,DEFAULT,2023-10-22,SCI,SG
C100108,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,A,Local Corporate,Active,13-09-2023,Small,DEFAULT,2010-01-04,SCI,SG
C100109,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,K,Global corporate,Active,23-08-2014,Small,DEFAULT,2023-01-04,SCI,SG
C100110,LE001,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,ME,Medium enterprises,Active,02-12-2014,Medium,DEFAULT,2014-10-17,SCI,SG
C100111,LE001,SP001,Vertex Finance Pte Ltd,Vertex Finance Pte Ltd,30,Business Clients,Active,09-11-2022,Medium,DEFAULT,2013-10-22,SCI,SG
C100112,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,A,Local Corporate,Active,22-11-2019,Medium,DEFAULT,2023-11-21,SCI,SG
C100113,LE001,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,S,Own account,Active,06-11-2021,Medium,DEFAULT,2015-04-09,SCI,SG
C100114,LE001,SP001,Merlion Holdings Pte Ltd,Merlion Holdings Pte Ltd,N,Financial Institution,Active,20-06-2009,Medium,DEFAULT,2013-04-22,SCI,SG
C100115,LE001,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE Pte Ltd,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE Pte Ltd,MM,Middle market,Dormant,17-09-2018,Medium,DEFAULT,2011-08-20,SCI,SG
C100116,LE001,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,K,Global corporate,Active,16-02-2019,Medium,DEFAULT,2022-11-29,SCI,SG
C100117,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,50,Private Banking,Active,12-08-2013,Small,DEFAULT,2021-02-01,SCI,SG
C100118,LE001,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,A,Local Corporate,Active,19-09-2019,Large,DEFAULT,2010-02-15,SCI,SG
C100119,LE001,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,K,Global corporate,Active,28-11-2009,Large,DEFAULT,2013-12-11,SCI,SG
C100120,LE001,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,S,Own account,Active,04-08-2010,Small,DEFAULT,2012-09-21,SCI,SG
C100121,LE001,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,N,Financial Institution,Active,04-06-2015,Medium,DEFAULT,2021-11-30,SCI,SG
C100122,LE001,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,30,Business Clients,Active,05-12-2014,Small,DEFAULT,2023-09-28,SCI,SG
C100123,LE001,SP001,Nova Retail Pte Ltd,Nova Retail Pte Ltd,E,Commodity Traders & Agriculture,Active,16-04-2017,Small,DEFAULT,2020-01-01,SCI,SG
C100124,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,S,Own account,Active,25-08-2015,Small,DEFAULT,2020-02-04,SCI,SG
C100125,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,A,Local Corporate,Active,03-11-2023,Medium,DEFAULT,2016-03-21,SCI,SG
C100126,LE001,SP001,Vertex Finance Pte Ltd,Vertex Finance Pte Ltd,MM,Middle market,Active,28-02-2011,Medium,DEFAULT,2019-11-13,SCI,SG
C100127,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,50,Private Banking,Active,05-04-2010,Medium,DEFAULT,2016-02-04,SCI,SG
C100128,LE001,SP001,Maple Investments Pte Ltd,Maple Investments Pte Ltd,NA,Not applicable,Active,11-02-2017,Medium,DEFAULT,2011-10-23,SCI,SG
C100129,LE001,SP001,Lotus Capital Pte Ltd,Lotus Capital Pte Ltd,K,Global corporate,Active,04-08-2013,Large,DEFAULT,2013-06-05,SCI,SG
C100130,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,K,Global corporate,Active,22-02-2014,Small,DEFAULT,2017-06-03,SCI,SG
C100131,LE001,SP001,Pioneer Energy Pte Ltd,Pioneer Energy Pte Ltd,30,Business Clients,Active,22-08-2009,Medium,DEFAULT,2019-06-04,SCI,SG
C100132,LE001,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,MM,Middle market,Active,06-02-2018,Small,DEFAULT,2010-06-10,SCI,SG
C100133,LE001,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,ME,Medium enterprises,Active,21-11-2012,Small,DEFAULT,2016-09-12,SCI,SG
C100134,LE001,SP001,Apex Solutions Pte Ltd,Apex Solutions Pte Ltd,A,Local Corporate,Active,30-09-2023,Medium,DEFAULT,2019-05-26,SCI,SG
C100135,LE001,SP001,Evergreen Commodities Pte Ltd,Evergreen Commodities Pte Ltd,MM,Middle market,Active,14-02-2011,Small,DEFAULT,2019-10-11,SCI,SG
C100136,LE001,SP001,Vertex Finance Pte Ltd,Vertex Finance Pte Ltd,MM,Middle market,Active,16-07-2012,Small,DEFAULT,2019-01-26,SCI,SG
C100137,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,K,Global corporate,Active,12-11-2007,Medium,DEFAULT,2023-12-16,SCI,SG
C100138,LE001,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,MM,Middle market,Active,15-11-2019,Medium,DEFAULT,2010-08-11,SCI,SG
C100139,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,ME,Medium enterprises,Active,17-01-2008,Small,DEFAULT,2020-05-10,SCI,SG
C100140,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,N,Financial Institution,Active,03-07-2013,Medium,DEFAULT,2017-05-05,SCI,SG
C100141,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,A,Local Corporate,Active,27-07-2012,Large,DEFAULT,2018-07-03,SCI,SG
C100142,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,K,Global corporate,Active,30-08-2023,Large,DEFAULT,2019-06-16,SCI,SG
C100143,LE001,SP001,Zenith Manufacturing Pte Ltd,Zenith Manufacturing Pte Ltd,HV,High value small business,Active,20-07-2015,Medium,DEFAULT,2010-06-08,SCI,SG
C100144,LE001,SP001,ABC Trading Pte Ltd,ABC Trading Pte Ltd,A,Local Corporate,Dormant,06-11-2012,Medium,DEFAULT,2015-01-11,SCI,SG
C100145,LE001,SP001,Sunrise Logistics Pte Ltd,Sunrise Logistics Pte Ltd,30,Business Clients,Active,15-08-2019,Large,DEFAULT,2010-11-26,SCI,SG
C100146,LE001,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,MM,Middle market,Active,16-06-2005,Medium,DEFAULT,2023-12-08,SCI,SG
C100147,LE001,SP001,Lotus Capital Pte Ltd,Lotus Capital Pte Ltd,30,Business Clients,Active,16-08-2015,Medium,DEFAULT,2012-07-26,SCI,SG
C100148,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,ME,Medium enterprises,Active,01-10-2010,Medium,DEFAULT,2018-04-10,SCI,SG
C100149,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,K,Global corporate,Active,11-10-2021,Large,DEFAULT,2012-07-27,SCI,SG
C100150,LE001,SP001,Orchid Foods Pte Ltd,Orchid Foods Pte Ltd,30,Business Clients,Active,05-06-2007,Medium,DEFAULT,2022-12-24,SCI,SG
C100151,LE001,SP001,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,K,Global corporate,Active,02-06-2013,Medium,DEFAULT,2018-11-24,SCI,SG
C100152,LE001,SP001,Harbour Shipping Pte Ltd,Harbour Shipping Pte Ltd,ME,Medium enterprises,Active,28-06-2020,Small,DEFAULT,2015-06-13,SCI,SG
C100153,LE001,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,K,Global corporate,Active,07-10-2011,Medium,DEFAULT,2023-06-20,SCI,SG
C100154,LE001,SP001,Pacific Exports Pte Ltd,Pacific Exports Pte Ltd,MM,Middle market,Active,11-09-2017,Medium,DEFAULT,2010-12-03,SCI,SG
C100155,LE001,SP001,Cedar Technologies Pte Ltd,Cedar Technologies Pte Ltd,E,Commodity Traders & Agriculture,Active,03-11-2019,Large,DEFAULT,2018-04-24,SCI,SG
