le_id,sub_prof_id,limit_id,client_id,limit_class,limit_type,limit_advised_indicator,limit_product_code,limit_product_name,activated_limit_indicator,activated_limit_status,activated_limit_class,activated_limit_type,sanctioned_amount,utilized_amount,available_amount,start_date,maturity_date,mth_end,src,cty
LE001,SP001,30000056,C100156,MAIN BORROWER LIMIT,OUTER,N,TRLCISOLU,IMPORT LCS - UNSECURED,Y,Active,MAIN BORROWER LIMIT,OUTER,413031,97537,315494,2020-02-23,2029-01-13,2024-12-31,SCI,SG
LE001,SP001,30000057,C100926,MAIN BORROWER LIMIT,CONTROL,N,TROEXFOB,EXPORT BILLS DISCOUNTING,Y,Active,MAIN BORROWER LIMIT,INNER,70317,57526,12791,2020-02-27,2029-11-14,2024-12-31,SCI,SG
LE001,SP001,30000058,C100765,MAIN BORROWER LIMIT,INNER,Y,SSCUSTLOVR,LIMIT-OVERNIGHT CUSTODY SERVICES,Y,Active,CO-BORROWER LIMIT,CONTROL,119466,78994,40472,2020-04-27,2027-10-12,2024-12-31,SCI,SG
LE001,SP001,30000059,C100860,CO-BORROWER LIMIT,OUTER,N,GMGMKTLAR2,LIMIT-ACR (CAT 2),Y,Active,CO-BORROWER LIMIT,CONTROL,226672,126472,100200,2024-07-20,2027-04-28,2024-12-31,SCI,SG
LE001,SP001,30000060,C100658,CO-BORROWER LIMIT,OUTER,N,LELOANTLN,TERM LOANS,Y,Active,CO-BORROWER LIMIT,INNER,431725,103827,327898,2021-03-11,2028-09-29,2024-12-31,SCI,SG
LE001,SP001,30000061,C100779,CO-BORROWER LIMIT,INNER,N,LELOANMLRS,MORTGAGE LOANS-RESIDENTIAL,N,Inactive,CO-BORROWER LIMIT,OUTER,100793,47702,53091,2016-06-15,2029-11-16,2024-12-31,SCI,SG
LE001,SP001,30000062,C100053,CO-BORROWER LIMIT,OUTER,N,CRRISKCOLL,LIMIT-INDIRECT RISK-COLLATERAL,N,Inactive,CO-BORROWER LIMIT,OUTER,135177,122287,12890,2022-08-15,2026-12-19,2024-12-31,SCI,SG
LE001,SP001,30000063,C100636,MAIN BORROWER LIMIT,OUTER,Y,SSCUSTLDAY,LIMIT-INTRADAY CUSTODY SERVICES,N,Inactive,MAIN BORROWER LIMIT,OUTER,53834,25222,28612,2021-12-25,2028-12-02,2024-12-31,SCI,SG
LE001,SP001,30000064,C100171,MAIN BORROWER LIMIT,OUTER,N,TRIMPFOIML,IMPORT LOAN,Y,Active,CO-BORROWER LIMIT,CONTROL,49207,32457,16750,2020-08-24,2029-01-28,2024-12-31,SCI,SG
LE001,SP001,30000065,C100964,MAIN BORROWER LIMIT,OUTER,N,TRGTEECUBG,BOND & GUARANTEES,N,Inactive,MAIN BORROWER LIMIT,CONTROL,366783,273338,93445,2017-03-08,2030-03-21,2024-12-31,SCI,SG
LE001,SP001,30000066,C100824,MAIN BORROWER LIMIT,CONTROL,N,GMGMKTLMSS,LIMIT-MARKETABLE SECURITIES (NON-TM),Y,Active,MAIN BORROWER LIMIT,INNER,631744,70793,560951,2017-08-05,2028-10-06,2024-12-31,SCI,SG
LE001,SP001,30000067,C100012,CO-BORROWER LIMIT,INNER,Y,TRIMPFILTR,LOANS AGAINST TRUST RECEIPTS,N,Inactive,CO-BORROWER LIMIT,INNER,151446,103979,47467,2019-12-22,2027-11-03,2024-12-31,SCI,SG
LE001,SP001,30000068,C100751,CO-BORROWER LIMIT,CONTROL,N,GMGMKTLABS,LIMIT-ASSET BACKED SECURITIES (NON-ALM),Y,Active,CO-BORROWER LIMIT,INNER,443979,352146,91833,2018-03-19,2028-05-10,2024-12-31,SCI,SG
LE001,SP001,30000069,C100330,MAIN BORROWER LIMIT,OUTER,Y,TRECBCNBCND,CREDIT BILLS NEGOTIATED - DISCREPANT,Y,Active,MAIN BORROWER LIMIT,CONTROL,233663,140033,93630,2020-08-09,2028-09-26,2024-12-31,SCI,SG
LE001,SP001,30000070,C100029,CO-BORROWER LIMIT,INNER,Y,LEODREOD,OVERDRAFT,Y,Active,CO-BORROWER LIMIT,INNER,85381,25758,59623,2018-03-04,2030-10-14,2024-12-31,SCI,SG
LE001,SP001,30000071,C100901,CO-BORROWER LIMIT,CONTROL,Y,GMGMKTLAAR,LIMIT-ACR (CAT 3),N,Inactive,CO-BORROWER LIMIT,INNER,233607,128404,105203,2022-02-28,2030-09-22,2024-12-31,SCI,SG
LE001,SP001,30000072,C100487,CO-BORROWER LIMIT,INNER,N,TRGTEEIOFG,SILENT PAYMENT GTEE - OIF,Y,Active,CO-BORROWER LIMIT,CONTROL,757695,203800,553895,2017-05-30,2030-02-11,2024-12-31,SCI,SG
LE001,SP001,30000073,C100377,CO-BORROWER LIMIT,CONTROL,N,LELOANSTLN,SHORT TERM LOANS,Y,Active,CO-BORROWER LIMIT,INNER,157027,57570,99457,2019-10-08,2028-05-15,2024-12-31,SCI,SG
LE001,SP001,30000074,C100313,CO-BORROWER LIMIT,OUTER,Y,LEODREAYE,LIMIT-INTRADAY OVERDRAFT,Y,Active,MAIN BORROWER LIMIT,OUTER,778125,190443,587682,2019-06-05,2028-05-27,2024-12-31,SCI,SG
LE001,SP001,30000075,C100741,CO-BORROWER LIMIT,OUTER,N,GMGMKTLRBR,LIMIT-REPOS ACR (CAT 2),Y,Active,CO-BORROWER LIMIT,INNER,11852,743,11109,2018-11-13,2027-07-25,2024-12-31,SCI,SG
LE001,SP001,30000076,C100280,MAIN BORROWER LIMIT,OUTER,N,CRRISKSRWR,LIMIT-RECEIVABLE SERVICES WITHOUT RECOURSE,N,Inactive,CO-BORROWER LIMIT,OUTER,370238,309314,60924,2018-06-02,2028-06-12,2024-12-31,SCI,SG
LE001,SP001,30000077,C100480,CO-BORROWER LIMIT,INNER,N,TRSCFIVEPR,VENDOR PREPAY FINANCING,N,Inactive,CO-BORROWER LIMIT,INNER,177557,27109,150448,2024-02-15,2029-02-05,2024-12-31,SCI,SG
LE001,SP001,30000078,C100503,MAIN BORROWER LIMIT,CONTROL,N,GMGMKTLMSS,LIMIT-MARKETABLE SECURITIES (TM - LIQUIDITY),Y,Active,CO-BORROWER LIMIT,OUTER,120691,113995,6696,2023-07-12,2029-12-24,2024-12-31,SCI,SG
LE001,SP001,30000079,C100782,CO-BORROWER LIMIT,CONTROL,N,TROEXFINN,EXPORT INVOICE FINANCING,N,Inactive,CO-BORROWER LIMIT,INNER,178395,81252,97143,2019-11-22,2028-07-08,2024-12-31,SCI,SG
LE001,SP001,30000080,C100880,CO-BORROWER LIMIT,INNER,N,GMGMKTFLPO,LIMIT-FX PRE-SETTLEMENT - OVERALL,Y,Active,CO-BORROWER LIMIT,OUTER,22301,20134,2167,2022-07-11,2030-05-12,2024-12-31,SCI,SG
LE001,SP001,30000081,C100216,CO-BORROWER LIMIT,CONTROL,Y,TRLCISOLIS,IMPORT LCS - SECURED,Y,Active,CO-BORROWER LIMIT,OUTER,130656,6847,123809,2019-10-21,2030-09-19,2024-12-31,SCI,SG
LE001,SP001,30000082,C100608,CO-BORROWER LIMIT,INNER,Y,TRGTEEFING,FINANCIAL GUARANTEES / SBLC (TRADE),Y,Active,CO-BORROWER LIMIT,INNER,232608,26531,206077,2022-03-28,2028-05-02,2024-12-31,SCI,SG
LE001,SP001,30000083,C100806,MAIN BORROWER LIMIT,INNER,Y,GMGMKTM SLC,LIMIT-MARKETABLE SECURITIES (TM - CAPITAL),Y,Active,CO-BORROWER LIMIT,OUTER,713468,81527,631941,2022-12-30,2028-07-29,2024-12-31,SCI,SG
LE001,SP001,30000084,C100609,CO-BORROWER LIMIT,INNER,Y,TRLCISBBLC,BACK-TO-BACK LCS SECURED,N,Inactive,CO-BORROWER LIMIT,INNER,96928,48505,48423,2019-04-27,2029-04-22,2024-12-31,SCI,SG
LE001,SP001,30000085,C100082,MAIN BORROWER LIMIT,INNER,N,LELOANRTLN,REVOLVING TERM LOANS,N,Inactive,MAIN BORROWER LIMIT,CONTROL,72511,58180,14331,2018-05-28,2030-02-22,2024-12-31,SCI,SG
LE001,SP001,30000086,C100973,MAIN BORROWER LIMIT,CONTROL,N,CRRISKRDWR,LIMIT-RECEIVABLES DISCOUNTING-CAT5,Y,Active,MAIN BORROWER LIMIT,OUTER,98542,46654,51888,2017-07-20,2029-05-01,2024-12-31,SCI,SG
LE001,SP001,30000087,C100938,CO-BORROWER LIMIT,OUTER,N,CRRISKLOIF,LIMIT-OIF (CAT5),Y,Active,CO-BORROWER LIMIT,OUTER,406525,192290,214235,2020-04-11,2028-09-20,2024-12-31,SCI,SG
LE001,SP001,30000088,C100328,MAIN BORROWER LIMIT,OUTER,N,TRLBDCLBD,LOCAL BILLS DISCOUNTED,N,Inactive,MAIN BORROWER LIMIT,INNER,226104,176860,49244,2018-09-08,2027-01-22,2024-12-31,SCI,SG
LE001,SP001,30000089,C100465,MAIN BORROWER LIMIT,INNER,Y,GMGMKTSYND,SYNDICATIONS,Y,Active,MAIN BORROWER LIMIT,CONTROL,95821,75931,19890,2024-11-04,2030-07-16,2024-12-31,SCI,SG
LE001,SP001,30000090,C100890,CO-BORROWER LIMIT,INNER,Y,CACOLLCHQP,CHEQUES PURCHASED,Y,Active,CO-BORROWER LIMIT,INNER,271921,166651,105270,2016-05-02,2027-02-21,2024-12-31,SCI,SG
LE001,SP001,30000091,C100208,CO-BORROWER LIMIT,CONTROL,Y,LELOANMORT,COMMERCIAL/ INDUSTRIAL MORTGAGE,Y,Active,CO-BORROWER LIMIT,INNER,179346,28566,150780,2017-10-16,2030-04-07,2024-12-31,SCI,SG
LE001,SP001,30000092,C100818,MAIN BORROWER LIMIT,CONTROL,Y,GMGMKT PMLN,LIMIT-PRECIOUS METAL LOANS,Y,Active,MAIN BORROWER LIMIT,OUTER,428756,108145,320611,2023-08-02,2029-06-10,2024-12-31,SCI,SG
LE001,SP001,30000093,C100969,MAIN BORROWER LIMIT,CONTROL,N,TROEXFODP,EXPORT BILLS DISCOUNTING D/P,Y,Active,MAIN BORROWER LIMIT,CONTROL,80655,55238,25417,2020-03-13,2029-07-23,2024-12-31,SCI,SG
LE001,SP001,30000094,C100483,MAIN BORROWER LIMIT,INNER,N,TRLIMISTTL,LIMIT-SHORT TERM TRADE LIMIT,Y,Active,MAIN BORROWER LIMIT,CONTROL,117282,84638,32644,2023-04-29,2027-03-30,2024-12-31,SCI,SG
LE001,SP001,30000095,C100282,CO-BORROWER LIMIT,INNER,N,TRRFACRECS,RECEIVABLES SERVICES,Y,Active,CO-BORROWER LIMIT,INNER,109962,77352,32610,2018-04-10,2030-02-07,2024-12-31,SCI,SG
LE001,SP001,30000096,C100675,CO-BORROWER LIMIT,OUTER,N,LELOANBEFF,PRODUCT LELOANBEFF,Y,Active,CO-BORROWER LIMIT,CONTROL,37664,14669,22995,2021-03-31,2027-11-29,2024-12-31,SCI,SG
LE001,SP001,30000097,C100714,MAIN BORROWER LIMIT,CONTROL,N,LELOANAPP,GUARANTEED INSTALLMENT LOAN,N,Inactive,MAIN BORROWER LIMIT,INNER,218845,157619,61226,2016-12-12,2028-12-27,2024-12-31,SCI,SG
LE001,SP001,30000098,C100395,MAIN BORROWER LIMIT,INNER,N,TRGTEESG,SHIPPING GUARANTEES,Y,Active,MAIN BORROWER LIMIT,INNER,211304,175959,35345,2019-12-02,2027-05-31,2024-12-31,SCI,SG
LE001,SP001,30000099,C100538,CO-BORROWER LIMIT,OUTER,N,LELOANMILCM,MORTGAGE LOANS-COMMERCIAL,Y,Active,CO-BORROWER LIMIT,OUTER,163589,19196,144393,2016-02-03,2028-05-03,2024-12-31,SCI,SG
LE001,SP001,30000100,C100346,CO-BORROWER LIMIT,CONTROL,Y,LEGINTSBL C,COMMERCIAL STANDBY L/C'S,Y,Active,CO-BORROWER LIMIT,CONTROL,128722,50460,78262,2021-04-21,2030-05-14,2024-12-31,SCI,SG
LE001,SP001,30000101,C100735,CO-BORROWER LIMIT,CONTROL,Y,TRIMPFATR,ACCEPTANCE AGAINST TRUST RECEIPTS,Y,Active,CO-BORROWER LIMIT,INNER,39522,37454,2068,2016-06-25,2027-05-12,2024-12-31,SCI,SG
LE001,SP001,30000102,C100444,MAIN BORROWER LIMIT,CONTROL,N,TRIMPFINFN,IMPORT INVOICE FINANCING,Y,Active,CO-BORROWER LIMIT,OUTER,106868,9766,97102,2015-12-05,2027-03-02,2024-12-31,SCI,SG
LE001,SP001,30000103,C100300,CO-BORROWER LIMIT,INNER,N,LELOANBILN,BUSINESS INSTALLMENT LOANS,Y,Active,CO-BORROWER LIMIT,CONTROL,115529,88179,27350,2022-12-13,2027-11-01,2024-12-31,SCI,SG
LE001,SP001,30000104,C100080,CO-BORROWER LIMIT,CONTROL,N,TRLCISOLU,IMPORT LCS - UNSECURED,Y,Active,CO-BORROWER LIMIT,OUTER,72964,33930,39034,2022-01-03,2029-06-06,2024-12-31,SCI,SG
LE001,SP001,30000105,C100261,MAIN BORROWER LIMIT,INNER,N,TROEXFOB,EXPORT BILLS DISCOUNTING,N,Inactive,CO-BORROWER LIMIT,INNER,138512,130047,8465,2021-07-02,2030-06-08,2024-12-31,SCI,SG
